Year,Month,Day,Hour,Minute,Second,Temp(Sensor),Temp(WC),Hum(Sensor),Hum(WC),BatteryLevel,BatteryCharging,CloudForecast
2017,3,4,11,43,13,8.60,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,44,14,8.60,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,45,16,8.60,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,46,17,8.60,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,47,19,8.60,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,48,20,8.60,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,49,21,8.60,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,50,23,8.60,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,51,24,8.70,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,52,26,8.70,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,53,27,8.70,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,54,29,8.70,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,55,30,8.70,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,56,32,8.70,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,57,33,8.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,58,35,8.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,59,36,8.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,0,38,8.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,1,39,8.90,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,2,41,8.90,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,3,42,8.90,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,4,43,8.90,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,5,45,9.00,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,6,46,8.90,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,7,48,9.00,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,8,49,9.00,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,9,51,9.00,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,10,52,9.00,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,11,54,9.10,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,12,55,9.10,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,13,57,9.10,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,14,58,9.10,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,16,0,9.20,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,17,1,9.20,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,18,2,9.20,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,19,4,9.20,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,20,5,9.30,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,21,7,9.30,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,22,8,9.40,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,23,10,9.40,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,24,11,9.50,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,25,13,9.50,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,26,14,9.50,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,27,16,9.60,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,28,17,9.60,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,29,19,9.70,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,30,20,9.70,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,31,22,9.70,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,32,23,9.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,33,24,9.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,34,26,9.90,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,35,27,9.90,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,36,29,10.00,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,37,30,10.00,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,38,32,10.10,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,39,33,10.10,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,40,35,10.20,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,41,36,10.20,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,42,38,10.20,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,43,39,10.30,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,44,41,10.30,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,45,42,10.30,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,46,43,10.40,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,47,45,10.40,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,48,46,10.50,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,49,48,10.50,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,50,49,10.50,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,51,51,10.60,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,52,52,10.70,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,53,54,10.70,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,54,55,10.70,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,55,57,10.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,56,58,10.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,58,0,10.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,12,59,1,10.90,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,0,3,11.00,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,1,4,11.00,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,2,6,11.10,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,3,7,11.10,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,4,8,11.10,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,5,10,11.20,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,6,11,11.20,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,7,13,11.30,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,8,14,11.30,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,9,16,11.30,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,10,17,11.40,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,11,19,11.40,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,12,20,11.50,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,13,22,11.50,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,14,23,11.50,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,15,25,11.60,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,16,26,11.60,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,17,28,11.60,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,18,29,11.70,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,19,30,11.70,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,20,32,11.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,21,33,11.90,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,22,35,11.90,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,23,36,11.90,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,24,38,12.00,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,25,39,12.00,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,26,41,12.10,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,27,42,12.10,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,28,44,12.10,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,29,45,12.10,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,30,47,12.20,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,31,48,12.20,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,32,50,12.20,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,33,51,12.20,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,34,53,12.30,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,35,54,12.30,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,36,55,12.30,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,37,57,12.30,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,38,58,12.40,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,40,0,12.40,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,41,1,12.50,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,42,3,12.50,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,43,4,12.50,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,44,6,12.60,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,45,7,12.60,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,46,9,12.70,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,47,10,12.70,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,48,12,12.70,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,49,13,12.70,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,50,15,12.70,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,51,16,12.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,52,18,12.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,53,19,12.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,54,20,12.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,55,22,12.90,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,56,23,12.90,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,57,25,13.00,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,58,26,13.00,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,13,59,28,13.00,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,0,29,13.10,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,1,31,13.10,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,2,32,13.10,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,3,34,13.10,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,4,35,13.20,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,5,37,13.20,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,6,38,13.20,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,7,40,13.30,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,8,41,13.30,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,9,43,13.30,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,10,44,13.40,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,11,45,13.50,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,12,47,13.50,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,13,48,13.60,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,14,50,13.60,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,15,51,13.70,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,16,53,13.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,17,54,13.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,18,56,13.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,19,57,13.90,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,20,59,13.90,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,22,0,14.00,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,23,2,14.10,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,24,3,14.10,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,25,5,14.20,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,26,6,14.20,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,27,7,14.30,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,28,9,14.30,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,29,10,14.40,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,30,12,14.40,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,31,13,14.40,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,32,15,14.50,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,33,16,14.50,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,34,18,14.50,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,35,19,14.50,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,36,21,14.50,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,37,22,14.50,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,38,24,14.50,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,14,39,25,14.40,8.166666666666668,99.90,96,0.93,true,ERROR

